Customer_ID,Churn_Probability,Dataset
14738,4.3449778e-05,Train
14554,0.00023698453,Train
13237,0.00045998197,Train
11773,6.4438704e-05,Train
13793,6.624706e-05,Train
11339,0.00044249423,Train
12932,0.99855906,Train
13700,0.00010045915,Train
10769,8.304184e-05,Train
11289,0.00052696205,Train
10053,7.489385e-05,Train
10317,0.003519269,Train
13482,0.99606496,Train
10529,9.6715514e-05,Train
13717,0.00011731279,Train
14024,0.9983993,Train
12266,9.717034e-05,Train
14466,0.00033881082,Train
14760,0.00038955075,Train
14133,0.00024724443,Train
10985,0.0003379949,Train
12299,0.00035898926,Train
14020,0.00020240966,Train
10469,4.720749e-05,Train
11983,0.00029090318,Train
11655,0.00018280323,Train
13860,2.7324486e-05,Train
10808,7.512281e-05,Train
12049,0.99938667,Train
10626,0.0004895089,Train
13375,0.0035836725,Train
12073,0.00026623486,Train
14321,4.8970247e-05,Train
12900,0.99976355,Train
13304,0.0002937165,Train
11270,0.99608046,Train
14647,8.5833926e-05,Train
14422,0.0005266525,Train
13166,0.00010262825,Train
13833,0.99946564,Train
12496,0.0007737292,Train
10968,0.0001439901,Train
11140,0.0001303357,Train
11704,8.309713e-05,Train
12194,0.00016471781,Train
11599,0.00010675249,Train
14107,2.2622116e-05,Train
10538,9.0355665e-05,Train
11299,0.0002782545,Train
12915,0.0044529075,Train
14158,0.00011133764,Train
11265,0.000523903,Train
11378,0.00025774998,Train
13994,0.9962769,Train
12836,0.00014640657,Train
12822,5.334752e-05,Train
12855,0.0022024403,Train
11898,8.674539e-05,Train
12873,7.9182726e-05,Train
11268,5.1052666e-05,Train
14641,5.4537817e-05,Train
11182,0.00010995066,Train
10835,0.00017124614,Train
13704,0.98746675,Train
14782,7.5111995e-05,Train
12665,0.0001738537,Train
14425,6.949208e-05,Train
12487,4.7416295e-05,Train
13034,0.00017276386,Train
12048,0.9995296,Train
10863,2.746187e-05,Train
14585,0.0005359187,Train
13113,0.00011266279,Train
12570,0.004323325,Train
10542,0.00032090163,Train
14006,8.4095904e-05,Train
11151,7.809904e-05,Train
12878,0.00013312924,Train
12782,0.97389954,Train
14894,0.00045517072,Train
13250,0.99956256,Train
12799,0.0018088106,Train
10166,0.9980787,Train
12318,0.00018443656,Train
13987,8.2016486e-05,Train
14763,0.9998324,Train
12297,0.00056405825,Train
11556,6.323324e-05,Train
13213,2.9013467e-05,Train
13218,0.00064850645,Train
12605,0.00024293436,Train
10735,0.00027643028,Train
13224,9.481313e-05,Train
13933,0.0031907915,Train
14180,5.4334636e-05,Train
10584,0.00078669644,Train
10615,5.3843127e-05,Train
14035,0.00017806301,Train
